// Ra-x Ra-y Ra-radiu
300 300 20
500 500 80
200 400 70
200 300 100

// VerticeName vertice-X vertice-Y
vertice1 100 100
vertice2 100 200
vertice3 100 300
vertice4 100 400
vertice5 100 500
vertice6 100 600
vertice7 200 100
vertice8 200 200
vertice9 200 300
vertice10 200 400
vertice11 200 500
vertice12 200 600
vertice13 300 100
vertice14 300 200
vertice15 300 300
vertice16 300 400
vertice17 300 500
vertice18 300 600
vertice19 400 100
vertice20 400 200
vertice21 400 300
vertice22 400 400
vertice23 400 500
vertice24 400 600
vertice25 500 100
vertice26 500 200
vertice27 500 300
vertice28 500 400
vertice29 500 500
vertice30 500 600
vertice31 600 100
vertice32 600 200
vertice33 600 300
vertice34 600 400
vertice35 600 500
vertice36 600 600
vertice37 700 300
vertice38 700 400
vertice39 800 200
vertice40 800 300
vertice41 800 400
vertice42 900 200
vertice43 900 300

// Start End Distance
vertice1 vertice2 123
vertice1 vertice7 123
vertice2 vertice1 103
vertice2 vertice3 116
vertice2 vertice8 117
vertice3 vertice2 132
vertice3 vertice4 123
vertice3 vertice9 110
vertice4 vertice3 100
vertice4 vertice5 120
vertice4 vertice10 132
vertice5 vertice4 138
vertice5 vertice6 104
vertice5 vertice11 134
vertice6 vertice5 110
vertice6 vertice12 123
vertice7 vertice8 111
vertice7 vertice1 115
vertice7 vertice13 125
vertice8 vertice7 140
vertice8 vertice9 109
vertice8 vertice2 129
vertice8 vertice14 146
vertice9 vertice8 101
vertice9 vertice10 108
vertice9 vertice3 108
vertice9 vertice15 101
vertice10 vertice9 112
vertice10 vertice11 119
vertice10 vertice4 107
vertice10 vertice16 132
vertice11 vertice10 115
vertice11 vertice12 134
vertice11 vertice5 118
vertice11 vertice17 143
vertice12 vertice11 121
vertice12 vertice6 143
vertice12 vertice18 147
vertice13 vertice14 103
vertice13 vertice7 114
vertice13 vertice19 133
vertice14 vertice13 118
vertice14 vertice15 106
vertice14 vertice8 126
vertice14 vertice20 127
vertice15 vertice14 136
vertice15 vertice16 117
vertice15 vertice9 134
vertice15 vertice21 101
vertice16 vertice15 131
vertice16 vertice17 133
vertice16 vertice10 104
vertice16 vertice22 122
vertice17 vertice16 106
vertice17 vertice18 137
vertice17 vertice11 105
vertice17 vertice23 101
vertice18 vertice17 106
vertice18 vertice12 130
vertice18 vertice24 122
vertice19 vertice20 141
vertice19 vertice13 137
vertice19 vertice25 115
vertice20 vertice19 106
vertice20 vertice21 133
vertice20 vertice14 116
vertice20 vertice26 117
vertice21 vertice20 124
vertice21 vertice22 135
vertice21 vertice15 141
vertice21 vertice27 124
vertice22 vertice21 123
vertice22 vertice23 119
vertice22 vertice16 123
vertice22 vertice28 123
vertice23 vertice22 101
vertice23 vertice24 114
vertice23 vertice17 110
vertice23 vertice29 108
vertice24 vertice23 139
vertice24 vertice18 122
vertice24 vertice30 119
vertice25 vertice26 146
vertice25 vertice19 137
vertice25 vertice31 103
vertice26 vertice25 101
vertice26 vertice27 125
vertice26 vertice20 148
vertice26 vertice32 118
vertice27 vertice26 109
vertice27 vertice28 103
vertice27 vertice21 149
vertice27 vertice33 118
vertice28 vertice27 127
vertice28 vertice29 105
vertice28 vertice22 133
vertice28 vertice34 121
vertice29 vertice28 131
vertice29 vertice30 121
vertice29 vertice23 106
vertice29 vertice35 121
vertice30 vertice29 121
vertice30 vertice24 104
vertice30 vertice36 121
vertice31 vertice32 112
vertice31 vertice25 124
vertice32 vertice31 144
vertice32 vertice33 142
vertice32 vertice26 134
vertice33 vertice32 113
vertice33 vertice34 102
vertice33 vertice27 116
vertice34 vertice33 112
vertice34 vertice35 113
vertice34 vertice28 117
vertice35 vertice34 121
vertice35 vertice36 131
vertice35 vertice29 144
vertice36 vertice35 123
vertice36 vertice30 123
vertice33 vertice37 0
vertice37 vertice33 180
vertice37 vertice38 120
vertice38 vertice37 120
vertice37 vertice40 130
vertice40 vertice47 130
vertice38 vertice41 127
vertice41 vertice38 127
vertice40 vertice41 135
vertice41 vertice40 135
vertice39 vertice40 112
vertice40 vertice39 112
vertice39 vertice42 145
vertice42 vertice39 145
vertice42 vertice43 112
vertice43 vertice42 112
vertice40 vertice43 123
vertice43 vertice40 123

// RiverName River-x River-y width length
// One Side
// Another Side
river1 635 100 30 500
vertice31 vertice32 vertice33 vertice34 vertice35 vertice36
vertice37 vertice38

